id,year,exercise,question,title,difficulty,concepts,skills,folder
BAC-2008-SCI-EX03-Q1,2008,EX03,1,دراسة دالة على مجال وإثبات f(I) داخل I,medium,"function_study, monotonicity, interval_image, sequence_prerequisite","دراسة رتابة دالة, إثبات انتماء صورة مجال, التحضير لدراسة متتالية تراجعية",mathematics/sequences/bac/2008/EX03/Q01_BAC-2008-SCI-EX03-Q1
BAC-2008-SCI-EX03-Q2,2008,EX03,2,إثبات انتماء حدود متتالية تراجعية إلى مجال,medium,"recursive_sequence, induction, interval_invariance, sequence","الاستدلال بالتراجع, إثبات حصر حدود متتالية, استعمال f(I)⊂I",mathematics/sequences/bac/2008/EX03/Q02_BAC-2008-SCI-EX03-Q2
BAC-2008-SCI-EX03-Q3,2008,EX03,3,دراسة رتابة وتقارب متتالية تراجعية,medium,"monotonicity, boundedness, convergence, recursive_sequence","إثبات الرتابة, استعمال الحصر, استنتاج التقارب",mathematics/sequences/bac/2008/EX03/Q03_BAC-2008-SCI-EX03-Q3
BAC-2008-SCI-EX03-Q4,2008,EX03,4,إثبات صيغة صريحة ثم حساب النهاية,medium,"explicit_formula, induction, limit, geometric_limit","إثبات صيغة بالتراجع, حساب نهاية باستعمال متتالية هندسية",mathematics/sequences/bac/2008/EX03/Q04_BAC-2008-SCI-EX03-Q4
BAC-2008-SCI-EX02-Q1,2008,EX02,1,تمثيل بياني لمتتالية تراجعية خطية,easy,"graphical_method, recursive_sequence, fixed_point","تمثيل حدود متتالية تراجعية, تخمين الرتابة والنهاية",mathematics/sequences/bac/2008/EX02/Q01_BAC-2008-SCI-EX02-Q1
BAC-2008-SCI-EX02-Q2,2008,EX02,2,إثبات الحصر والرتابة لمتتالية خطية,medium,"boundedness, monotonicity, recursive_sequence, induction","إثبات المحدودية, إثبات الرتابة, استعمال التراجع",mathematics/sequences/bac/2008/EX02/Q02_BAC-2008-SCI-EX02-Q2
BAC-2008-SCI-EX02-Q3,2008,EX02,3,تحويل متتالية تراجعية إلى هندسية وحساب النهاية,medium,"geometric_transformation, recursive_sequence, limit","تحويل تراجعية خطية, تعيين أساس متتالية هندسية, حساب النهاية",mathematics/sequences/bac/2008/EX02/Q03_BAC-2008-SCI-EX02-Q3
BAC-2009-SCI-EX01-Q1,2009,EX01,1,حساب الحدود الأولى للمتتالية المساعدة v_n,easy,"auxiliary_sequence, first_terms",حساب حدود أولى,mathematics/sequences/bac/2009/EX01/Q01_BAC-2009-SCI-EX01-Q1
BAC-2009-SCI-EX01-Q2,2009,EX01,2,إثبات أن v_n متتالية هندسية,medium,"geometric_sequence, second_order_sequence","إثبات هندسية, حساب أساس",mathematics/sequences/bac/2009/EX01/Q02_BAC-2009-SCI-EX01-Q2
BAC-2009-SCI-EX01-Q3,2009,EX01,3,حساب مجموع واستنتاج الحد العام,medium,"sum, explicit_formula, geometric_sequence","حساب مجموع هندسي, استنتاج الحد العام",mathematics/sequences/bac/2009/EX01/Q03_BAC-2009-SCI-EX01-Q3
BAC-2009-SCI-EX01-Q4,2009,EX01,4,إثبات تقارب المتتالية u_n,easy,"convergence, geometric_limit","حساب النهاية, إثبات التقارب",mathematics/sequences/bac/2009/EX01/Q04_BAC-2009-SCI-EX01-Q4
BAC-2009-SCI-EX03-Q1,2009,EX03,1,تعيين أساس وحدود متتالية هندسية من نظام,medium,"geometric_sequence, system","حل نظام, تعيين أساس",mathematics/sequences/bac/2009/EX03/Q01_BAC-2009-SCI-EX03-Q1
BAC-2009-SCI-EX03-Q2,2009,EX03,2,كتابة الحد العام والمجموع,medium,"geometric_sequence, sum","كتابة حد عام, حساب مجموع هندسي",mathematics/sequences/bac/2009/EX03/Q02_BAC-2009-SCI-EX03-Q2
BAC-2009-SCI-EX03-Q3,2009,EX03,3,تحويل متتالية v_n باستعمال w_n,hard,"geometric_transformation, auxiliary_sequence","تحويل متتالية, استنتاج حد عام",mathematics/sequences/bac/2009/EX03/Q03_BAC-2009-SCI-EX03-Q3
BAC-2010-SCI-EX01-Q1,2010,EX01,1,تمثيل حدود متتالية تراجعية وإيجاد نقطة التثبيت,easy,"graphical_method, fixed_point","تمثيل بياني, إيجاد نقطة ثابتة",mathematics/sequences/bac/2010/EX01/Q01_BAC-2010-SCI-EX01-Q1
BAC-2010-SCI-EX01-Q2,2010,EX01,2,إثبات u_n>2/3 بالتراجع واستنتاج الرتابة,medium,"induction, monotonicity, boundedness","الاستدلال بالتراجع, إثبات الرتابة",mathematics/sequences/bac/2010/EX01/Q02_BAC-2010-SCI-EX01-Q2
BAC-2010-SCI-EX01-Q3,2010,EX01,3,تحويل v_n=u_n-2/3 إلى هندسية,medium,"geometric_transformation, sum","تحويل إلى هندسية, حساب مجموع",mathematics/sequences/bac/2010/EX01/Q03_BAC-2010-SCI-EX01-Q3
BAC-2010-SCI-QCM-Q1,2010,QCM,1,سؤال اختيار متعدد حول v_n ونهاية u_n,easy,"qcm, geometric_sequence, limit, sum","اختيار مع تعليل, تمييز متتالية هندسية",mathematics/sequences/bac/2010/QCM/Q01_BAC-2010-SCI-QCM-Q1
BAC-2011-SCI-EX01-Q1,2011,EX01,1,إثبات أن v_n هندسية بوسيط alpha,hard,"parameter, geometric_transformation","التعامل مع وسيط, إثبات هندسية",mathematics/sequences/bac/2011/EX01/Q01_BAC-2011-SCI-EX01-Q1
BAC-2011-SCI-EX01-Q2,2011,EX01,2,استنتاج u_n وشرط التقارب,hard,"convergence_condition, geometric_sequence","استنتاج حد عام, شرط التقارب",mathematics/sequences/bac/2011/EX01/Q02_BAC-2011-SCI-EX01-Q2
BAC-2011-SCI-EX01-Q3,2011,EX01,3,حساب المجاميع عند alpha=3/2,medium,"sum, geometric_sequence","حساب مجموع هندسي, الربط بين u و v",mathematics/sequences/bac/2011/EX01/Q03_BAC-2011-SCI-EX01-Q3
BAC-2012-SCI-EX01A-Q1,2012,EX01A,1,تمثيل حدود متتالية جذرية وتخمين التقارب,easy,"graphical_method, sqrt_recursive","تمثيل بياني, تخمين الرتابة",mathematics/sequences/bac/2012/EX01A/Q01_BAC-2012-SCI-EX01A-Q1
BAC-2012-SCI-EX01A-Q2,2012,EX01A,2,إثبات الحصر 0<u_n<3 بالتراجع,medium,"induction, boundedness",إثبات حصر بالتراجع,mathematics/sequences/bac/2012/EX01A/Q02_BAC-2012-SCI-EX01A-Q2
BAC-2012-SCI-EX01A-Q3,2012,EX01A,3,دراسة رتابة وتقارب المتتالية الجذرية,medium,"monotonicity, convergence, fixed_point","إثبات الرتابة, حساب النهاية",mathematics/sequences/bac/2012/EX01A/Q03_BAC-2012-SCI-EX01A-Q3
BAC-2012-SCI-EX01B-Q1,2012,EX01B,1,إثبات الحصر 3<u_n<4,medium,"induction, boundedness",إثبات حصر,mathematics/sequences/bac/2012/EX01B/Q01_BAC-2012-SCI-EX01B-Q1
BAC-2012-SCI-EX01B-Q2,2012,EX01B,2,دراسة الرتابة والتقارب,medium,"monotonicity, convergence","دراسة إشارة فرق, استنتاج التقارب",mathematics/sequences/bac/2012/EX01B/Q02_BAC-2012-SCI-EX01B-Q2
BAC-2012-SCI-EX01B-Q3,2012,EX01B,3,تحويل لوغاريتمي إلى هندسية,hard,"log_transform, geometric_sequence, limit","استعمال اللوغاريتم, إثبات هندسية, حساب النهاية",mathematics/sequences/bac/2012/EX01B/Q03_BAC-2012-SCI-EX01B-Q3
BAC-2012-SCI-EX01B-Q4,2012,EX01B,4,حساب جداء P_n ونهايته,hard,"product, logarithm, sum","تحويل جداء إلى مجموع, حساب نهاية",mathematics/sequences/bac/2012/EX01B/Q04_BAC-2012-SCI-EX01B-Q4
BAC-2013-SCI-EX02A-Q1,2013,EX02A,1,إثبات هندسية v_n وحساب نهايتها,easy,"geometric_sequence, limit","إثبات هندسية, حساب نهاية",mathematics/sequences/bac/2013/EX02A/Q01_BAC-2013-SCI-EX02A-Q1
BAC-2013-SCI-EX02A-Q2,2013,EX02A,2,حصر متتالية جذرية ودراسة رتابتها,medium,"induction, boundedness, monotonicity","إثبات الحصر, دراسة الرتابة",mathematics/sequences/bac/2013/EX02A/Q02_BAC-2013-SCI-EX02A-Q2
BAC-2013-SCI-EX02A-Q3,2013,EX02A,3,استعمال المقارنة لاستنتاج النهاية,medium,"comparison, squeeze_theorem, limit","استعمال الحصر, حساب النهاية",mathematics/sequences/bac/2013/EX02A/Q03_BAC-2013-SCI-EX02A-Q3
BAC-2013-SCI-EX02B-Q1,2013,EX02B,1,قراءة الرسم وتخمين السلوك,easy,"graphical_method, recursive_sequence","قراءة رسم, تخمين السلوك",mathematics/sequences/bac/2013/EX02B/Q01_BAC-2013-SCI-EX02B-Q1
BAC-2013-SCI-EX02B-Q2,2013,EX02B,2,إثبات الحصر والرتابة,medium,"function_monotonicity, induction, sequence_monotonicity","إثبات رتابة دالة, إثبات حصر, إثبات رتابة متتالية",mathematics/sequences/bac/2013/EX02B/Q02_BAC-2013-SCI-EX02B-Q2
BAC-2013-SCI-EX02B-Q3,2013,EX02B,3,تحويل v_n=(u_n-1)/u_n إلى هندسية,medium,"geometric_transformation, limit","تحويل إلى هندسية, حساب النهاية",mathematics/sequences/bac/2013/EX02B/Q03_BAC-2013-SCI-EX02B-Q3
BAC-2014-SCI-EX01A-Q1,2014,EX01A,1,إثبات أن v_n=u_n+4 هندسية,medium,geometric_transformation,"إثبات هندسية, تعيين الأساس",mathematics/sequences/bac/2014/EX01A/Q01_BAC-2014-SCI-EX01A-Q1
BAC-2014-SCI-EX01A-Q2,2014,EX01A,2,كتابة u_n وحساب المجموع,medium,"explicit_formula, sum","كتابة حد عام, حساب مجموع",mathematics/sequences/bac/2014/EX01A/Q02_BAC-2014-SCI-EX01A-Q2
BAC-2014-SCI-EX01A-Q3,2014,EX01A,3,دراسة w_n وحساب نهاية فرق,hard,"monotonicity, limit, auxiliary_sequence","إثبات الرتابة, حساب نهاية",mathematics/sequences/bac/2014/EX01A/Q03_BAC-2014-SCI-EX01A-Q3
BAC-2014-SCI-EX01B-Q1,2014,EX01B,1,إثبات هندسية المتتالية الأسية,easy,"exponential_sequence, geometric_sequence, limit","إثبات هندسية, حساب نهاية",mathematics/sequences/bac/2014/EX01B/Q01_BAC-2014-SCI-EX01B-Q1
BAC-2014-SCI-EX01B-Q2,2014,EX01B,2,حساب مجموع S_n,easy,"sum, geometric_sequence",حساب مجموع هندسي,mathematics/sequences/bac/2014/EX01B/Q02_BAC-2014-SCI-EX01B-Q2
BAC-2014-SCI-EX01B-Q3,2014,EX01B,3,استعمال اللوغاريتم وحساب P_n,medium,"logarithm, arithmetic_sequence, inequality","استعمال اللوغاريتم, حساب مجموع حسابي, حل متراجحة",mathematics/sequences/bac/2014/EX01B/Q03_BAC-2014-SCI-EX01B-Q3
BAC-2015-SCI-EX03-Q1,2015,EX03,1,حساب الحدود الأولى لمتتالية أسية تراجعية,easy,"first_terms, recursive_sequence",حساب حدود أولى,mathematics/sequences/bac/2015/EX03/Q01_BAC-2015-SCI-EX03-Q1
BAC-2015-SCI-EX03-Q2,2015,EX03,2,إثبات الإيجابية 1+u_n>0,medium,"positivity, induction",إثبات الإيجابية بالتراجع,mathematics/sequences/bac/2015/EX03/Q02_BAC-2015-SCI-EX03-Q2
BAC-2015-SCI-EX03-Q3,2015,EX03,3,دراسة الرتابة والتقارب,medium,"monotonicity, boundedness, convergence","إثبات الرتابة, استنتاج التقارب",mathematics/sequences/bac/2015/EX03/Q03_BAC-2015-SCI-EX03-Q3
BAC-2015-SCI-EX03-Q4,2015,EX03,4,تحويل v_n=3(1+u_n) إلى هندسية,medium,"geometric_transformation, limit","تحويل إلى هندسية, حساب النهاية",mathematics/sequences/bac/2015/EX03/Q04_BAC-2015-SCI-EX03-Q4
BAC-2015-SCI-EX03-Q5,2015,EX03,5,حساب مجموع اللوغاريتمات,hard,"logarithm, sum, geometric_sequence","استعمال اللوغاريتم, حساب مجموع حسابي",mathematics/sequences/bac/2015/EX03/Q05_BAC-2015-SCI-EX03-Q5
